Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,655.4481883,559.9837041,509.7952707,558.2337242,669.2893219,891.6338266,1107.626711,1397.114247,1695.855392,1666.996294,2208.838109,2616.156607,2465.228294,2472.819362,2456.043766,1802.212,1795.693266,2063.514689,1916.933708
Barbados,3.0595,3.0545,3.1065,3.2095,3.4445,3.8195,4.2175,4.674,4.785,4.4655,4.53,4.6575,4.61,4.677,4.6965,4.715,4.83,4.978,5.0865
Brunei,6.001153306,5.601090584,5.843329108,6.557333085,7.872333215,9.531402848,11.470703,12.24769425,14.39309907,10.73236629,13.70737074,18.52531998,19.0479403,18.09382992,17.09834254,12.93039494,11.40085427,12.12810486,13.56735118
Bhutan,0.42446409,0.461444514,0.520849552,0.604041958,0.682523857,0.79693812,0.874989896,1.168308517,1.227808791,1.234014292,1.547991318,1.777101317,1.781281282,1.756215665,1.907090813,2.003598213,2.158972129,2.450364928,2.446866405
Botswana,5.788329609,5.4896083,5.438857107,7.511582173,8.957467707,9.918907108,10.1378833,10.93905337,10.94507044,10.26713318,12.7866545,15.35197236,14.38000418,14.90175099,15.65466071,13.57875407,15.08257806,16.08843768,16.9142451
Central African Republic,0.914500299,0.931833303,0.99138787,1.139754799,1.270080251,1.337362392,1.460561215,1.697565949,1.985240986,2.059094048,2.142591376,2.43798284,2.510126699,1.691544192,1.894813505,1.695825708,1.825018191,2.072349794,2.220978978
Canada,744.7734159,738.9817924,760.6493341,895.5406466,1026.690238,1173.108599,1319.26481,1468.820408,1552.989691,1374.625142,1617.343367,1793.32663,1828.366482,1846.597422,1805.749878,1556.508816,1527.994742,1649.265644,1725.329193
Switzerland,279.8411517,287.2265312,310.1757725,363.063294,405.5313213,420.5449478,443.8019054,493.5373767,570.3041972,558.1998686,603.4344934,722.0382421,692.109694,712.7481242,734.396591,702.1495808,695.6006529,704.478517,735.5393016
Chile,77.86093215,70.97992396,69.73681144,75.64345984,99.21039286,122.964812,154.7880248,173.6059682,179.6384963,172.3894984,218.5375512,252.251992,267.1223201,278.3843327,260.5416373,243.9190794,250.4401497,277.0346755,297.5716931
China,1211.34687,1339.395719,1470.550015,1660.287966,1955.347005,2285.965892,2752.131773,3550.342737,4594.307033,5101.703073,6087.163875,7551.500124,8532.229987,9570.406236,10475.68292,11061.55308,11233.27654,12310.40937,13894.81755
Cameroon,10.56657895,10.95348524,12.41725182,15.97031575,18.82621528,19.50985084,20.91051397,23.92825133,27.71514458,27.93297168,27.50749971,30.63091218,30.15506457,33.72862282,36.38654692,32.21023291,33.8143379,36.09855014,39.97383906
"Congo, Dem. Rep.",19.08804631,7.4381891,8.728038525,8.93756706,10.29748348,11.96448467,14.45190247,16.73707182,19.78851587,18.64837331,21.56572004,25.8397492,29.30623583,32.6797453,35.90904027,37.9177049,37.13479997,38.01926563,47.14600459
"Congo, Rep.",3.227927593,2.796704577,3.034251042,3.503723245,4.656975223,6.647357442,8.065134528,8.771102025,11.60289304,9.684321633,13.1355807,15.63489727,17.69392457,17.95361793,17.88907996,11.8854785,10.21599,11.09017775,13.670037
Colombia,99.88657733,98.2117496,97.9630038,94.64137869,117.0815223,145.6191916,161.6185813,206.1818268,242.1869509,232.3978357,286.5631052,334.9438719,370.9213205,382.1161264,381.1121197,293.4817482,282.8250099,311.8837307,334.1982147
Comoros,0.351136568,0.378512003,0.425964697,0.546885185,0.633706149,0.653845123,0.698431828,0.795673128,0.915659193,0.905341091,0.907978724,1.023086184,1.015843369,1.116224161,1.149587652,0.966029542,1.012835518,1.077439663,1.188797575
Costa Rica,15.01362966,15.97617434,16.57882069,17.27176051,18.61059485,20.04064248,22.71554032,26.88470035,30.80174488,30.74571201,37.6586148,42.76261708,47.23165186,50.94967221,52.01640895,56.44191765,58.84701604,60.51604359,62.4201651
Cuba,30.5654,31.6824,33.5905,35.9012,38.203,42.6438361,52.7428,58.6039,60.8063,62.08,64.328,68.99,73.141,77.148,80.656,87.133,91.37,96.851,100.05
Cyprus,9.985844486,10.39789709,11.42022788,14.54732503,17.3205525,18.43341127,20.07278635,23.96876403,27.84469899,25.94539178,25.73243272,27.5654691,24.97851343,23.90087263,23.15685001,19.8424043,20.95344255,22.87083371,25.52267123
Czech Republic,61.8281665,67.80803298,82.19600105,100.0904676,119.8144344,137.1434713,156.2640957,190.1838009,236.8164858,207.4342968,209.069941,229.5627334,208.8577193,211.6856166,209.3588342,188.0330505,196.2720686,218.628941,248.9501034
Germany,1943.145384,1944.107383,2068.624129,2496.128668,2809.187981,2845.802761,2992.196713,3421.229127,3730.027831,3397.791053,3396.354076,3744.408603,3527.344944,3732.743446,3883.920155,3356.235704,3467.498002,3681.732584,3975.347237
Djibouti,0.551230862,0.572417441,0.59112204,0.622044666,0.666072102,0.708633195,0.768873684,0.847918929,0.999105339,1.049110685,1.1286117,1.239144502,1.353632942,2.042817163,2.214679081,2.430274292,2.603540257,2.751445574,3.012803457
Dominica,0.33347037,0.340203704,0.333196296,0.343311111,0.3672,0.364255556,0.390251852,0.421374074,0.458188889,0.489074074,0.493825926,0.501025926,0.485996296,0.498296296,0.520207407,0.540737037,0.57622963,0.519837037,0.550622222
Denmark,164.1587391,164.7914425,178.6351637,218.0960335,251.373003,264.4673365,282.8849477,319.4234245,353.3610388,321.2413037,321.9952794,344.0031376,327.1489438,343.5843916,352.9936316,302.6730708,313.1159293,332.1210638,356.8412164
Dominican Republic,24.30571754,25.6017654,27.13750866,21.40316785,22.32239537,35.77757014,37.8798699,43.96542007,48.12254718,48.2610333,53.86017556,58.02975075,60.6815372,62.68216384,67.17991403,71.16482526,75.70472019,79.99797562,85.55537804
Algeria,54.79039275,54.74471281,56.76035587,67.86382841,85.33258119,103.1982237,117.0273075,134.9770826,171.0006999,137.2110358,161.2072702,200.0130522,209.058992,209.7550033,213.8100249,165.9792793,160.0341639,170.0970146,174.9108786
Ecuador,18.32776488,24.468324,28.548945,32.432858,36.591661,41.507085,46.802044,51.007777,61.762635,62.519686,69.555367,79.276664,87.924544,95.129659,101.726331,99.290381,99.937696,104.295862,107.562008
Egypt,99.83854396,96.68463612,85.14606742,80.28846154,78.78246753,89.60066556,107.426087,130.4378284,162.8181818,189.1470054,218.9836661,235.989673,279.1166667,288.4341085,305.5954089,329.3665768,332.4417178,235.7336957,249.7129994
Eritrea,0.706370816,0.752368496,0.729321367,0.870247703,1.109054005,1.098425901,1.21116188,1.317974491,1.3801888,1.856695551,1.589515447,2.065001626,2.255,1.958,2.604,2.016,2.213,1.904,2.006
Spain,596.8776488,627.2868009,705.3943158,905.4920993,1067.09337,1153.285661,1259.343872,1472.131125,1625.224843,1485.583495,1420.722034,1478.772824,1324.820091,1354.757433,1369.398845,1195.11927,1232.076017,1309.297247,1420.300233
Estonia,5.686579748,6.254649539,7.367975888,9.874013098,12.1459118,14.1067902,17.02287041,22.44912948,24.34167863,19.6330314,19.52347733,23.18361605,23.02046678,25.10861509,26.59865788,22.88155819,24.05648777,26.85788062,30.47461206
Ethiopia,8.242392104,8.231326016,7.850809498,8.6236913,10.13118726,12.40113945,15.28086183,19.70761677,27.06691264,32.43738912,29.93379033,31.95276309,43.31072141,47.64821113,55.61222823,64.58933498,74.29661848,81.77079197,84.26934833
European Union,7260.12064,7388.169198,8050.016391,9912.552738,11400.57283,11906.967,12704.67501,14712.56776,16240.62004,14713.15799,14545.4303,15741.78999,14636.91715,15296.01355,15634.24127,13547.24776,13885.15582,14734.76453,15971.54003
Finland,125.7066519,129.4210291,139.7383776,171.2742664,197.1169605,204.8091033,216.9075398,256.0525595,284.5539769,252.4965268,249.1811905,275.2436978,258.3048346,271.2852806,274.4972308,234.440081,240.607907,255.0165175,275.5804484
Fiji,1.678239218,1.652464201,1.833279985,2.300453634,2.708078477,2.98048492,3.076305453,3.3783146,3.52318592,2.870624636,3.140508836,3.774530616,3.972012571,4.190143206,4.85696323,4.682546863,4.93020423,5.353404422,5.581371848
France,1362.24894,1376.465324,1494.286655,1840.480813,2115.742488,2196.126104,2318.593652,2657.213249,2918.382891,2690.222284,2642.609549,2861.40817,2683.825225,2811.077726,2852.165761,2438.207896,2471.285607,2588.740902,2789.593979
Micronesia,0.2332718,0.2409709,0.2425172,0.2454329,0.240236,0.2502819,0.2535419,0.2567872,0.2631451,0.2802846,0.2969441,0.3113016,0.3272487,0.3172144,0.3192712,0.3164899,0.3322652,0.3666668,0.4019323
Gabon,5.080483464,5.023265365,5.335451308,6.511903657,7.77021948,9.582783318,10.3275988,12.45541006,15.57134978,12.11369966,14.37259192,18.21030875,17.17046529,17.59574565,18.203968,14.38310771,14.02389062,14.92948877,16.86732513
United Kingdom,1662.127402,1643.908162,1784.076739,2057.093878,2421.814354,2544.829091,2717.059798,3106.182473,2938.882353,2425.798411,2491.110093,2674.891474,2719.158341,2803.291406,3087.165603,2956.573779,2722.851958,2699.016715,2900.791443
Georgia,3.057475335,3.219488664,3.395728014,3.991284895,5.125365192,6.410823633,7.745394293,10.17288237,12.79507647,10.76683628,12.24350558,15.10744145,16.48840308,17.18955152,17.62700345,14.95395056,15.14175857,16.24291692,17.59970009
Ghana,4.983024408,5.314909954,6.166330136,7.632406553,8.881368538,10.74467521,20.44089302,24.82784495,28.67870189,26.04810819,32.1972728,39.33731481,41.27095474,62.82304371,54.78284775,49.40656843,56.1651729,60.4063829,67.29928068
Guinea,2.995361141,2.829435957,2.950198649,3.446441698,3.635458133,2.937071767,4.220019243,6.281917656,6.964179194,6.716904569,6.853467858,6.785137173,7.638045254,8.376613843,8.778473615,8.794202444,8.595955581,10.32466827,11.85703034
Gambia,0.782915402,0.687408805,0.578236035,0.487038822,0.961900107,1.027702254,1.054113427,1.279704745,1.561763437,1.450140386,1.543292393,1.409694554,1.415006238,1.375608956,1.229460602,1.378176868,1.484579844,1.504909753,1.670670669
Guinea-Bissau,0.37109551,0.392621386,0.417806667,0.477458599,0.532062927,0.587029054,0.592365688,0.696910811,0.868154709,0.83012647,0.849878424,1.099818652,0.98927123,1.046087418,1.054915645,1.048229629,1.179004941,1.350177128,1.504630121
Equatorial Guinea,1.045998496,1.461139022,1.806742742,2.484745935,4.410764339,8.217369093,10.0865287,13.07171876,19.74989354,15.02779517,16.31444343,21.35734368,22.38834412,21.94883429,21.76545309,13.18549688,11.24080885,12.20091389,13.09701219
Greece,130.1338456,136.1913539,153.8309467,201.9242698,240.5212615,247.7830021,273.3177368,318.4979373,354.4608027,330.0002515,296.8353466,282.6256109,242.0431514,238.8397889,235.1449495,195.6048467,193.0170306,199.3507811,211.9458978
Grenada,0.52004437,0.520444185,0.540336926,0.591018407,0.599118593,0.695555556,0.698700667,0.758683593,0.825976037,0.771275556,0.771013259,0.778655926,0.799882259,0.842620111,0.911497407,0.997007926,1.061640741,1.125685185,1.166523556
Guatemala,19.28882716,18.40520385,20.44420599,21.5763518,23.57728623,26.78354367,29.74436811,33.56786832,38.50386283,37.12594356,40.67643203,46.87611465,49.59396114,52.9965407,57.85239996,62.18618658,66.05372505,71.65413438,73.20858376
